id,name
6799564,Ascentis
7557817,The Roseland Multi Academy Trust
8269861,Mega Glass Limited
7397651,Visa Cemea Holdings Limited
8257392,Beaconsfield School
8083333,Park Royal Hotel Operator Limited
8488749,Three Ways School
9445686,Volcap Trading Partners Limited
7094662,R.E.A.L. Foundation Trust
7559439,I-Trust Education
8655716,Turbo Finance 4 PLC
8745226,Jgaw Holdings Limited
10323270,Jptr Topco Limited
6586872,Experian Europe Unlimited
8658887,Roka Aldwych Limited
9569634,Professional Fee Protection Limited
7407994,Borro Loan 4 Limited
9826773,Blighter Surveillance Systems Limited
9937994,Thaddaeus Ropac Gallery Limited
7156633,The Foundation For Liver Research
6700649,Baltic Exchange Information Services Limited
8092485,Kitnocks Specialist Care Limited
8592352,Thames Quay Properties Limited
8555984,The Royal Air Force Central Fund
8858756,Primary Iv GP Co Limited
8569221,Kmregroup Ltd
9005926,Fresh Approach (UK) Holdings Limited
10461649,Tollgate Centre Colchester Limited
7761713,Kibworth High School A Community Technology College
7998843,Oblue Limited
8158130,J G Walker Groundworks Ltd
8666547,Spring Mews (Hotel) Limited
6433428,Anaco Holdings Limited
10644098,Renewable Energy Income Partnership Holdings 1 Limited
7005288,Deep-Secure Ltd
6237683,Sunpower Corporation UK Limited
6567122,Uniper Energy Trading UK Staff Company Limited
6967283,Waymarks Limited
7632131,Rab Capital Holdings Limited
7044888,Roli LTD.
7838042,Harbour Care (UK) Limited
8439971,BSR Connect Limited
8640614,Broadfields Academy Trust
7838396,Celtic Horizons Limited
9706278,JDX Base60 Limited
7331890,Thanet Ofto Holdco Limited
9313036,Lcih Australia TWO Limited
6835230,Drpt Properties Limited
10342187,Dominion Hospitality Limited
6959393,Santos Vision Limited
8820617,Shellco 141 Limited
9356353,Langland Gardens Ltd
7714867,Cambridge Park Academy Limited
9388677,Polymeric Labels Holdings Limited
8482129,The Leap Academy Trust
6480524,Institute For Government
6958872,Primary Care Commissioning Community Interest Company
7558466,Queen Elizabeth's Grammar School Trust Faversham
8274280,Phix (Newmarket) Ltd
8409932,Everything Different Limited
9369134,Connaught (UK) Limited
6221293,Nottingham University Samworth Academies Trust
10504329,Ppre Holdings Ltd
7734360,Northgate School Arts College
6702733,Rsc Worldwide Limited
10698975,Woodfield Industries Limited
7920625,Flexible Support Options Limited
8689080,Bargain Bunch Ltd
SC246300,Bue Bulkers Limited
IE458405,Inishcannon Leasing Limited
FC026286,Gold Diamond D Newcastle Metrocentre 2005 Ltd
6853049,Mithras Underwriting Limited
IE907986,Avolon Aerospace AOE 107 Limited
SC142723,Bindery Machinery Services Limited
7547023,Kingsmead Academy
IE317331,Ceva Ireland Limited
NI060982,Slieve Divena Wind Farm Limited
SC383640,Motive Rentals LTD.
SC015372,W.J. Clow & Company Limited
SC192925,Brightstrand International Limited
FC030803,Tachi-S Engineering Europe UK Office
SC060060,Swagelok (U.K.)
SO305095,Aberdeen GP 1 LLP
IE212395,"Apc Technologies, Limited"
OC378444,LRS Employment Services LLP
SC025810,Inverlochy Castle Limited
SC173232,Who Cares? Scotland
NI011711,Henry Brothers (Magherafelt) Limited
SC097770,Ross & Liddell Limited
IE307754,City Broadcasting Limited
IE495510,Mount Hybla Nursing Home Limited
9361342,King Edward's and Halesowen Colleges' Academy Trust
IE502277,Accedian Networks (Ireland) Limited
NI028390,Erne Integrated College Limited
SO302146,Cordia (Contracts) LLP
IE908196,Emerald Aviation AOE 1 Limited
SC332171,Standard Life Premises Services Limited
IE908583,Terumo UK Limited
OC357125,Devereux Capital LLP
IE587801,Jetair 15 Limited
SC405857,TZ Stores Limited
6419497,Snowdon Leasing Company Limited
